bp distance absolute;DEPICT p-value;predicates_score;node2vec_normal_score;node2vec_graphlet_score;node2vec_autoencode_score;node2vec_combi_score;distance_score;EVOKE_score;rdf2vec_score;struc2vec_score;Recall snps;Recall genes;Recall entries;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso)
True;False;True;True;False;True;False;True;False;False;False;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;True;False;True;False;False;True;False;False;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;True;False;True;False;False;False;True;False;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;True;False;True;False;False;False;False;True;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;True;False;False;True;True;False;False;False;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;True;False;False;True;False;True;False;False;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;True;False;False;True;False;False;True;False;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;True;False;False;True;False;False;False;True;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;True;False;False;False;True;True;False;False;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;True;False;False;False;True;False;True;False;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;True;False;False;False;True;False;False;True;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;True;False;False;False;False;True;True;False;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;True;False;False;False;False;True;False;True;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;True;False;False;False;False;False;True;True;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;False;True;True;True;False;False;False;False;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;False;True;True;False;True;False;False;False;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;False;True;True;False;False;True;False;False;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;False;True;True;False;False;False;True;False;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;False;True;True;False;False;False;False;True;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;False;True;False;True;True;False;False;False;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;False;True;False;True;False;True;False;False;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;False;True;False;True;False;False;True;False;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;False;True;False;True;False;False;False;True;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;False;True;False;False;True;True;False;False;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;False;True;False;False;True;False;True;False;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;False;True;False;False;True;False;False;True;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;False;True;False;False;False;True;True;False;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;False;True;False;False;False;True;False;True;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;False;True;False;False;False;False;True;True;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;False;False;True;True;True;False;False;False;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;False;False;True;True;False;True;False;False;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;False;False;True;True;False;False;True;False;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;False;False;True;True;False;False;False;True;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;False;False;True;False;True;True;False;False;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;False;False;True;False;True;False;True;False;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;False;False;True;False;True;False;False;True;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;False;False;True;False;False;True;True;False;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;False;False;True;False;False;True;False;True;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;False;False;True;False;False;False;True;True;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;False;False;False;True;True;True;False;False;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;False;False;False;True;True;False;True;False;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;False;False;False;True;True;False;False;True;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;False;False;False;True;False;True;True;False;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;False;False;False;True;False;True;False;True;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;False;False;False;True;False;False;True;True;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;False;False;False;False;True;True;True;False;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;False;False;False;False;True;True;False;True;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;False;False;False;False;True;False;True;True;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;True;False;False;False;False;False;True;True;True;40,0;120,0;44,0;80,73935558112774;0,7375;26,0;41,0;43,0;43,0;1,9090909090909092;1,0
True;False;False;True;True;True;True;False;False;False;False;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;True;True;True;False;True;False;False;False;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;True;True;True;False;False;True;False;False;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;True;True;True;False;False;False;True;False;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;True;True;True;False;False;False;False;True;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;True;True;False;True;True;False;False;False;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;True;True;False;True;False;True;False;False;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;True;True;False;True;False;False;True;False;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;True;True;False;True;False;False;False;True;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;True;True;False;False;True;True;False;False;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;True;True;False;False;True;False;True;False;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;True;True;False;False;True;False;False;True;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;True;True;False;False;False;True;True;False;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;True;True;False;False;False;True;False;True;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;True;True;False;False;False;False;True;True;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;True;False;True;True;True;False;False;False;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;True;False;True;True;False;True;False;False;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;True;False;True;True;False;False;True;False;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;True;False;True;True;False;False;False;True;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;True;False;True;False;True;True;False;False;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;True;False;True;False;True;False;True;False;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;True;False;True;False;True;False;False;True;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;True;False;True;False;False;True;True;False;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;True;False;True;False;False;True;False;True;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;True;False;True;False;False;False;True;True;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;True;False;False;True;True;True;False;False;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;True;False;False;True;True;False;True;False;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;True;False;False;True;True;False;False;True;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;True;False;False;True;False;True;True;False;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;True;False;False;True;False;True;False;True;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;True;False;False;True;False;False;True;True;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;True;False;False;False;True;True;True;False;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;True;False;False;False;True;True;False;True;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;True;False;False;False;True;False;True;True;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;True;False;False;False;False;True;True;True;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;True;True;True;True;False;False;False;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;True;True;True;False;True;False;False;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;True;True;True;False;False;True;False;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;True;True;True;False;False;False;True;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;True;True;False;True;True;False;False;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;True;True;False;True;False;True;False;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;True;True;False;True;False;False;True;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;True;True;False;False;True;True;False;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;True;True;False;False;True;False;True;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;True;True;False;False;False;True;True;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;True;False;True;True;True;False;False;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;True;False;True;True;False;True;False;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;True;False;True;True;False;False;True;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;True;False;True;False;True;True;False;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;True;False;True;False;True;False;True;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;True;False;True;False;False;True;True;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;True;False;False;True;True;True;False;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;True;False;False;True;True;False;True;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;True;False;False;True;False;True;True;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;True;False;False;False;True;True;True;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;False;True;True;True;True;False;False;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;False;True;True;True;False;True;False;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;False;True;True;True;False;False;True;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;False;True;True;False;True;True;False;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;False;True;True;False;True;False;True;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;False;True;True;False;False;True;True;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;False;True;False;True;True;True;False;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;False;True;False;True;True;False;True;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;False;True;False;True;False;True;True;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;False;True;False;False;True;True;True;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;False;False;True;True;True;True;False;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;False;False;True;True;True;False;True;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;False;False;True;True;False;True;True;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;False;False;True;False;True;True;True;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
True;False;False;False;False;False;False;True;True;True;True;42,0;133,0;46,0;81,18357487922705;0,7261904761904762;27,0;43,0;45,0;45,0;1,934782608695652;1,0
